Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,5.770000,5.770000,5.655000,5.660000,5.289761,7246012
2019-03-04,5.620000,5.620000,5.540000,5.540000,5.289761,4300417
2019-03-05,5.480000,5.495000,5.420000,5.470000,5.222923,15985269
2019-03-06,5.500000,5.680000,5.490000,5.670000,5.413889,7215170
2019-03-07,5.720000,5.730000,5.660000,5.690000,5.432986,5218819
2019-03-08,5.630000,5.680000,5.565000,5.660000,5.404341,5232475
2019-03-11,5.590000,5.715000,5.570000,5.680000,5.423437,3368145
2019-03-12,5.680000,5.840000,5.650000,5.680000,5.423437,8357249
2019-03-13,5.590000,5.630000,5.535000,5.620000,5.366148,10981147
2019-03-14,5.630000,5.650000,5.605000,5.630000,5.375696,4026477
2019-03-15,5.640000,5.650000,5.600000,5.620000,5.366148,7528224
2019-03-18,5.630000,5.650000,5.590000,5.640000,5.385244,2781209
2019-03-19,5.600000,5.630000,5.580000,5.600000,5.347051,6259417
2019-03-20,5.530000,5.600000,5.520000,5.540000,5.289761,7012703
2019-03-21,5.500000,5.510000,5.410000,5.440000,5.194278,12245879
2019-03-22,5.510000,5.525000,5.445000,5.450000,5.203826,3317081
2019-03-25,5.400000,5.425000,5.380000,5.400000,5.156085,6863696
2019-03-26,5.340000,5.380000,5.250000,5.340000,5.098795,8082480
2019-03-27,5.320000,5.440000,5.320000,5.440000,5.194278,6452201
2019-03-28,5.410000,5.550000,5.400000,5.530000,5.280213,9413475
2019-03-29,5.580000,5.705000,5.570000,5.660000,5.404341,11504904
2019-04-01,5.660000,5.745000,5.650000,5.710000,5.452082,7447545
2019-04-02,5.710000,5.850000,5.685000,5.840000,5.576210,9160753
2019-04-03,5.840000,5.875000,5.790000,5.820000,5.557114,5557769
2019-04-04,5.770000,5.810000,5.750000,5.780000,5.518921,6623894
2019-04-05,5.720000,5.830000,5.720000,5.800000,5.538017,3754490
2019-04-08,5.820000,5.860000,5.805000,5.820000,5.557114,4129105
2019-04-09,5.800000,5.810000,5.705000,5.710000,5.452082,4356970
2019-04-10,5.710000,5.770000,5.710000,5.740000,5.480727,3452186
2019-04-11,5.700000,5.710000,5.630000,5.650000,5.394793,6274479
2019-04-12,5.680000,5.740000,5.670000,5.690000,5.432986,3737123
2019-04-15,5.680000,5.695000,5.640000,5.670000,5.413889,3453917
2019-04-16,5.630000,5.690000,5.630000,5.660000,5.404341,5395617
2019-04-17,5.690000,5.710000,5.650000,5.680000,5.423437,5587810
2019-04-18,5.730000,5.740000,5.680000,5.700000,5.442533,3898660
2019-04-23,5.670000,5.705000,5.600000,5.610000,5.356599,5150381
2019-04-24,5.650000,5.750000,5.630000,5.720000,5.461630,7395547
2019-04-26,5.700000,5.720000,5.580000,5.590000,5.337503,8318487
2019-04-29,5.590000,5.590000,5.550000,5.570000,5.318406,6781256
2019-04-30,5.600000,5.660000,5.570000,5.610000,5.356599,5648568
2019-05-01,5.570000,5.720000,5.565000,5.700000,5.442533,4739197
2019-05-02,5.700000,5.770000,5.680000,5.760000,5.499825,8248468
2019-05-03,5.720000,5.790000,5.720000,5.770000,5.509372,3222494
2019-05-06,5.750000,5.760000,5.640000,5.650000,5.394793,2574238
2019-05-07,5.590000,5.615000,5.535000,5.540000,5.289761,4718557
2019-05-08,5.520000,5.525000,5.440000,5.440000,5.194278,8729287
2019-05-09,5.440000,5.660000,5.440000,5.560000,5.308858,11341051
2019-05-10,5.500000,5.505000,5.320000,5.410000,5.165633,11030020
2019-05-13,5.380000,5.430000,5.360000,5.400000,5.156085,3738017
2019-05-14,5.300000,5.340000,5.220000,5.330000,5.089247,5867648
2019-05-15,5.330000,5.340000,5.280000,5.300000,5.060602,4625621
2019-05-16,5.310000,5.390000,5.265000,5.350000,5.108343,8440450
